,20-21,21-22,22-23,23-24,24-25
ATL,0.30,0.57,0.52,0.50,0.44
BOS,0.67,0.50,0.62,0.70,0.78
BRK,0.49,0.67,0.54,0.55,0.39
CHI,0.35,0.43,0.56,0.49,0.48
CHO,0.34,0.46,0.52,0.33,0.26
CLE,0.29,0.31,0.54,0.62,0.59
DAL,0.57,0.58,0.63,0.46,0.61
DEN,0.63,0.65,0.59,0.65,0.70
DET,0.30,0.28,0.28,0.21,0.17
GSW,0.23,0.54,0.65,0.54,0.56
HOU,0.61,0.24,0.24,0.27,0.50
IND,0.62,0.47,0.31,0.43,0.57
LAC,0.68,0.65,0.51,0.54,0.62
LAL,0.73,0.58,0.40,0.52,0.57
MEM,0.47,0.53,0.68,0.62,0.33
MIA,0.60,0.56,0.65,0.54,0.56
MIL,0.77,0.64,0.62,0.71,0.60
MIN,0.30,0.32,0.56,0.51,0.68
NOP,0.42,0.43,0.44,0.51,0.60
NYK,0.32,0.57,0.45,0.57,0.61
OKC,0.61,0.31,0.29,0.49,0.70
ORL,0.45,0.29,0.27,0.42,0.57
PHI,0.59,0.68,0.62,0.66,0.57
PHO,0.47,0.71,0.78,0.55,0.60
POR,0.47,0.58,0.33,0.40,0.26
SAC,0.43,0.43,0.37,0.59,0.56
SAS,0.45,0.46,0.42,0.27,0.27
TOR,0.74,0.38,0.59,0.50,0.31
UTA,0.61,0.72,0.60,0.45,0.38
WAS,0.35,0.47,0.43,0.43,0.18