Team,20-21,21-22,22-23,23-24,24-25
ATL,0.57,0.52,0.50,0.44,0.49
BOS,0.50,0.62,0.70,0.78,0.74
BRK,0.67,0.54,0.55,0.39,0.32
CHI,0.43,0.56,0.49,0.48,0.48
CHO,0.46,0.52,0.33,0.26,0.23
CLE,0.31,0.54,0.62,0.59,0.78
DAL,0.58,0.63,0.46,0.61,0.48
DEN,0.65,0.59,0.65,0.70,0.61
DET,0.28,0.28,0.21,0.17,0.54
GSW,0.54,0.65,0.54,0.56,0.59
HOU,0.24,0.24,0.27,0.50,0.63
IND,0.47,0.31,0.43,0.57,0.61
LAC,0.65,0.51,0.54,0.62,0.61
LAL,0.58,0.40,0.52,0.57,0.61
MEM,0.53,0.68,0.62,0.33,0.59
MIA,0.56,0.65,0.54,0.56,0.45
MIL,0.64,0.62,0.71,0.60,0.59
MIN,0.32,0.56,0.51,0.68,0.60
NOP,0.43,0.44,0.51,0.60,0.26
NYK,0.57,0.45,0.57,0.61,0.62
OKC,0.31,0.29,0.49,0.70,0.83
ORL,0.29,0.27,0.42,0.57,0.50
PHI,0.68,0.62,0.66,0.57,0.29
PHO,0.71,0.78,0.55,0.60,0.44
POR,0.58,0.33,0.40,0.26,0.44
SAC,0.43,0.37,0.59,0.56,0.49
SAS,0.46,0.42,0.27,0.27,0.42
TOR,0.38,0.59,0.50,0.31,0.37
UTA,0.72,0.60,0.45,0.38,0.21
WAS,0.47,0.43,0.43,0.18,0.22